id,title,make,model,variant,price,year,mileage,fuelType,transmission,distanceMiles,postcodeArea,source,dealerName,motExpiry,listedAt,valueScore,valueInsight,imageUrl,originalListingUrl
292,Toyota Yaris Hybrid #292,Toyota,Yaris,Hybrid,11668,2021,52004,Electric,Manual,96,SW2,eBay,Direct Autos,Dec 2026,2026-06-13,89,£492 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/292
293,Audi A3 TDI Sport #293,Audi,A3,TDI Sport,12047,2022,52141,Petrol,Automatic,103,SW3,Dealer Site,EV Specialists,Dec 2026,2026-06-14,90,£493 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/293
294,Nissan Leaf Tekna #294,Nissan,Leaf,Tekna,12426,2023,52278,Diesel,Manual,110,SW4,Local Garage,AutoMart London,Dec 2026,2026-06-15,91,£494 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/294
295,Honda Civic i-VTEC #295,Honda,Civic,i-VTEC,12805,2024,52415,Hybrid,Automatic,117,SW5,Partner Dealer,City Motors,Dec 2026,2026-06-16,92,£495 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/295
296,Mazda 3 SE-L #296,Mazda,3,SE-L,13184,2025,52552,Electric,Manual,124,SW6,eBay,Premium Cars Ltd,Dec 2026,2026-06-17,93,£496 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/296
297,Volkswagen Golf 1.5 TSI #297,Volkswagen,Golf,1.5 TSI,13563,2015,52689,Petrol,Automatic,131,SW7,Dealer Site,Green Drive Motors,Dec 2026,2026-06-18,94,£497 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/297
298,Ford Fiesta Titanium #298,Ford,Fiesta,Titanium,13942,2016,52826,Diesel,Manual,138,SW8,Local Garage,Direct Autos,Dec 2026,2026-06-19,95,£498 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/298
299,BMW 118i Sport #299,BMW,118i,Sport,14321,2017,52963,Hybrid,Automatic,145,SW9,Partner Dealer,EV Specialists,Dec 2026,2026-06-20,96,£499 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/299
300,Toyota Yaris Hybrid #300,Toyota,Yaris,Hybrid,14700,2018,53100,Electric,Manual,2,SW10,eBay,AutoMart London,Dec 2026,2026-06-21,97,£500 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/300
301,Audi A3 TDI Sport #301,Audi,A3,TDI Sport,15079,2019,53237,Petrol,Automatic,9,SW11,Dealer Site,City Motors,Dec 2026,2026-06-22,55,£501 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/301
302,Nissan Leaf Tekna #302,Nissan,Leaf,Tekna,15458,2020,53374,Diesel,Manual,16,SW12,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-23,56,£502 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/302
303,Honda Civic i-VTEC #303,Honda,Civic,i-VTEC,15837,2021,53511,Hybrid,Automatic,23,SW13,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-24,57,£503 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/303
304,Mazda 3 SE-L #304,Mazda,3,SE-L,16216,2022,53648,Electric,Manual,30,SW14,eBay,Direct Autos,Dec 2026,2026-06-25,58,£504 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/304
305,Volkswagen Golf 1.5 TSI #305,Volkswagen,Golf,1.5 TSI,16595,2023,53785,Petrol,Automatic,37,SW15,Dealer Site,EV Specialists,Dec 2026,2026-06-26,59,£505 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/305
306,Ford Fiesta Titanium #306,Ford,Fiesta,Titanium,16974,2024,53922,Diesel,Manual,44,SW16,Local Garage,AutoMart London,Dec 2026,2026-06-27,60,£506 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/306
307,BMW 118i Sport #307,BMW,118i,Sport,17353,2025,54059,Hybrid,Automatic,51,SW17,Partner Dealer,City Motors,Dec 2026,2026-06-28,61,£507 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/307
308,Toyota Yaris Hybrid #308,Toyota,Yaris,Hybrid,17732,2015,54196,Electric,Manual,58,SW18,eBay,Premium Cars Ltd,Dec 2026,2026-06-01,62,£508 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/308
309,Audi A3 TDI Sport #309,Audi,A3,TDI Sport,18111,2016,54333,Petrol,Automatic,65,SW19,Dealer Site,Green Drive Motors,Dec 2026,2026-06-02,63,£509 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/309
310,Nissan Leaf Tekna #310,Nissan,Leaf,Tekna,18490,2017,54470,Diesel,Manual,72,SW0,Local Garage,Direct Autos,Dec 2026,2026-06-03,64,£510 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/310
311,Honda Civic i-VTEC #311,Honda,Civic,i-VTEC,18869,2018,54607,Hybrid,Automatic,79,SW1,Partner Dealer,EV Specialists,Dec 2026,2026-06-04,65,£511 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/311
312,Mazda 3 SE-L #312,Mazda,3,SE-L,19248,2019,54744,Electric,Manual,86,SW2,eBay,AutoMart London,Dec 2026,2026-06-05,66,£512 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/312
313,Volkswagen Golf 1.5 TSI #313,Volkswagen,Golf,1.5 TSI,19627,2020,54881,Petrol,Automatic,93,SW3,Dealer Site,City Motors,Dec 2026,2026-06-06,67,£513 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/313
314,Ford Fiesta Titanium #314,Ford,Fiesta,Titanium,20006,2021,55018,Diesel,Manual,100,SW4,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-07,68,£514 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/314
315,BMW 118i Sport #315,BMW,118i,Sport,20385,2022,55155,Hybrid,Automatic,107,SW5,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-08,69,£515 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/315
316,Toyota Yaris Hybrid #316,Toyota,Yaris,Hybrid,20764,2023,55292,Electric,Manual,114,SW6,eBay,Direct Autos,Dec 2026,2026-06-09,70,£516 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/316
317,Audi A3 TDI Sport #317,Audi,A3,TDI Sport,21143,2024,55429,Petrol,Automatic,121,SW7,Dealer Site,EV Specialists,Dec 2026,2026-06-10,71,£517 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/317
318,Nissan Leaf Tekna #318,Nissan,Leaf,Tekna,21522,2025,55566,Diesel,Manual,128,SW8,Local Garage,AutoMart London,Dec 2026,2026-06-11,72,£518 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/318
319,Honda Civic i-VTEC #319,Honda,Civic,i-VTEC,21901,2015,55703,Hybrid,Automatic,135,SW9,Partner Dealer,City Motors,Dec 2026,2026-06-12,73,£519 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/319
320,Mazda 3 SE-L #320,Mazda,3,SE-L,22280,2016,55840,Electric,Manual,142,SW10,eBay,Premium Cars Ltd,Dec 2026,2026-06-13,74,£520 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/320
321,Volkswagen Golf 1.5 TSI #321,Volkswagen,Golf,1.5 TSI,22659,2017,55977,Petrol,Automatic,149,SW11,Dealer Site,Green Drive Motors,Dec 2026,2026-06-14,75,£521 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/321
322,Ford Fiesta Titanium #322,Ford,Fiesta,Titanium,23038,2018,56114,Diesel,Manual,6,SW12,Local Garage,Direct Autos,Dec 2026,2026-06-15,76,£522 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/322
323,BMW 118i Sport #323,BMW,118i,Sport,23417,2019,56251,Hybrid,Automatic,13,SW13,Partner Dealer,EV Specialists,Dec 2026,2026-06-16,77,£523 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/323
324,Toyota Yaris Hybrid #324,Toyota,Yaris,Hybrid,23796,2020,56388,Electric,Manual,20,SW14,eBay,AutoMart London,Dec 2026,2026-06-17,78,£524 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/324
325,Audi A3 TDI Sport #325,Audi,A3,TDI Sport,24175,2021,56525,Petrol,Automatic,27,SW15,Dealer Site,City Motors,Dec 2026,2026-06-18,79,£525 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/325
326,Nissan Leaf Tekna #326,Nissan,Leaf,Tekna,24554,2022,56662,Diesel,Manual,34,SW16,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-19,80,£526 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/326
327,Honda Civic i-VTEC #327,Honda,Civic,i-VTEC,24933,2023,56799,Hybrid,Automatic,41,SW17,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-20,81,£527 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/327
328,Mazda 3 SE-L #328,Mazda,3,SE-L,25312,2024,56936,Electric,Manual,48,SW18,eBay,Direct Autos,Dec 2026,2026-06-21,82,£528 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/328
329,Volkswagen Golf 1.5 TSI #329,Volkswagen,Golf,1.5 TSI,25691,2025,57073,Petrol,Automatic,55,SW19,Dealer Site,EV Specialists,Dec 2026,2026-06-22,83,£529 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/329
330,Ford Fiesta Titanium #330,Ford,Fiesta,Titanium,26070,2015,57210,Diesel,Manual,62,SW0,Local Garage,AutoMart London,Dec 2026,2026-06-23,84,£530 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/330
331,BMW 118i Sport #331,BMW,118i,Sport,26449,2016,57347,Hybrid,Automatic,69,SW1,Partner Dealer,City Motors,Dec 2026,2026-06-24,85,£531 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/331
332,Toyota Yaris Hybrid #332,Toyota,Yaris,Hybrid,26828,2017,57484,Electric,Manual,76,SW2,eBay,Premium Cars Ltd,Dec 2026,2026-06-25,86,£532 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/332
333,Audi A3 TDI Sport #333,Audi,A3,TDI Sport,27207,2018,57621,Petrol,Automatic,83,SW3,Dealer Site,Green Drive Motors,Dec 2026,2026-06-26,87,£533 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/333
334,Nissan Leaf Tekna #334,Nissan,Leaf,Tekna,27586,2019,57758,Diesel,Manual,90,SW4,Local Garage,Direct Autos,Dec 2026,2026-06-27,88,£534 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/334
335,Honda Civic i-VTEC #335,Honda,Civic,i-VTEC,27965,2020,57895,Hybrid,Automatic,97,SW5,Partner Dealer,EV Specialists,Dec 2026,2026-06-28,89,£535 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/335
336,Mazda 3 SE-L #336,Mazda,3,SE-L,28344,2021,58032,Electric,Manual,104,SW6,eBay,AutoMart London,Dec 2026,2026-06-01,90,£536 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/336
337,Volkswagen Golf 1.5 TSI #337,Volkswagen,Golf,1.5 TSI,28723,2022,58169,Petrol,Automatic,111,SW7,Dealer Site,City Motors,Dec 2026,2026-06-02,91,£537 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/337
338,Ford Fiesta Titanium #338,Ford,Fiesta,Titanium,29102,2023,58306,Diesel,Manual,118,SW8,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-03,92,£538 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/338
339,BMW 118i Sport #339,BMW,118i,Sport,29481,2024,58443,Hybrid,Automatic,125,SW9,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-04,93,£539 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/339
340,Toyota Yaris Hybrid #340,Toyota,Yaris,Hybrid,29860,2025,58580,Electric,Manual,132,SW10,eBay,Direct Autos,Dec 2026,2026-06-05,94,£540 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/340
341,Audi A3 TDI Sport #341,Audi,A3,TDI Sport,30239,2015,58717,Petrol,Automatic,139,SW11,Dealer Site,EV Specialists,Dec 2026,2026-06-06,95,£541 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/341
342,Nissan Leaf Tekna #342,Nissan,Leaf,Tekna,30618,2016,58854,Diesel,Manual,146,SW12,Local Garage,AutoMart London,Dec 2026,2026-06-07,96,£542 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/342
343,Honda Civic i-VTEC #343,Honda,Civic,i-VTEC,30997,2017,58991,Hybrid,Automatic,3,SW13,Partner Dealer,City Motors,Dec 2026,2026-06-08,97,£543 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/343
344,Mazda 3 SE-L #344,Mazda,3,SE-L,5376,2018,59128,Electric,Manual,10,SW14,eBay,Premium Cars Ltd,Dec 2026,2026-06-09,55,£544 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/344
345,Volkswagen Golf 1.5 TSI #345,Volkswagen,Golf,1.5 TSI,5755,2019,59265,Petrol,Automatic,17,SW15,Dealer Site,Green Drive Motors,Dec 2026,2026-06-10,56,£545 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/345
346,Ford Fiesta Titanium #346,Ford,Fiesta,Titanium,6134,2020,59402,Diesel,Manual,24,SW16,Local Garage,Direct Autos,Dec 2026,2026-06-11,57,£546 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/346
347,BMW 118i Sport #347,BMW,118i,Sport,6513,2021,59539,Hybrid,Automatic,31,SW17,Partner Dealer,EV Specialists,Dec 2026,2026-06-12,58,£547 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/347
348,Toyota Yaris Hybrid #348,Toyota,Yaris,Hybrid,6892,2022,59676,Electric,Manual,38,SW18,eBay,AutoMart London,Dec 2026,2026-06-13,59,£548 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/348
349,Audi A3 TDI Sport #349,Audi,A3,TDI Sport,7271,2023,59813,Petrol,Automatic,45,SW19,Dealer Site,City Motors,Dec 2026,2026-06-14,60,£549 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/349
350,Nissan Leaf Tekna #350,Nissan,Leaf,Tekna,7650,2024,59950,Diesel,Manual,52,SW0,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-15,61,£550 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/350
351,Honda Civic i-VTEC #351,Honda,Civic,i-VTEC,8029,2025,60087,Hybrid,Automatic,59,SW1,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-16,62,£551 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/351
352,Mazda 3 SE-L #352,Mazda,3,SE-L,8408,2015,60224,Electric,Manual,66,SW2,eBay,Direct Autos,Dec 2026,2026-06-17,63,£552 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/352
353,Volkswagen Golf 1.5 TSI #353,Volkswagen,Golf,1.5 TSI,8787,2016,60361,Petrol,Automatic,73,SW3,Dealer Site,EV Specialists,Dec 2026,2026-06-18,64,£553 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/353
354,Ford Fiesta Titanium #354,Ford,Fiesta,Titanium,9166,2017,60498,Diesel,Manual,80,SW4,Local Garage,AutoMart London,Dec 2026,2026-06-19,65,£554 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/354
355,BMW 118i Sport #355,BMW,118i,Sport,9545,2018,60635,Hybrid,Automatic,87,SW5,Partner Dealer,City Motors,Dec 2026,2026-06-20,66,£555 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/355
356,Toyota Yaris Hybrid #356,Toyota,Yaris,Hybrid,9924,2019,60772,Electric,Manual,94,SW6,eBay,Premium Cars Ltd,Dec 2026,2026-06-21,67,£556 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/356
357,Audi A3 TDI Sport #357,Audi,A3,TDI Sport,10303,2020,60909,Petrol,Automatic,101,SW7,Dealer Site,Green Drive Motors,Dec 2026,2026-06-22,68,£557 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/357
358,Nissan Leaf Tekna #358,Nissan,Leaf,Tekna,10682,2021,61046,Diesel,Manual,108,SW8,Local Garage,Direct Autos,Dec 2026,2026-06-23,69,£558 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/358
359,Honda Civic i-VTEC #359,Honda,Civic,i-VTEC,11061,2022,61183,Hybrid,Automatic,115,SW9,Partner Dealer,EV Specialists,Dec 2026,2026-06-24,70,£559 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/359
360,Mazda 3 SE-L #360,Mazda,3,SE-L,11440,2023,61320,Electric,Manual,122,SW10,eBay,AutoMart London,Dec 2026,2026-06-25,71,£560 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/360
361,Volkswagen Golf 1.5 TSI #361,Volkswagen,Golf,1.5 TSI,11819,2024,61457,Petrol,Automatic,129,SW11,Dealer Site,City Motors,Dec 2026,2026-06-26,72,£561 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/361
362,Ford Fiesta Titanium #362,Ford,Fiesta,Titanium,12198,2025,61594,Diesel,Manual,136,SW12,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-27,73,£562 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/362
363,BMW 118i Sport #363,BMW,118i,Sport,12577,2015,61731,Hybrid,Automatic,143,SW13,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-28,74,£563 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/363
364,Toyota Yaris Hybrid #364,Toyota,Yaris,Hybrid,12956,2016,61868,Electric,Manual,150,SW14,eBay,Direct Autos,Dec 2026,2026-06-01,75,£564 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/364
365,Audi A3 TDI Sport #365,Audi,A3,TDI Sport,13335,2017,62005,Petrol,Automatic,7,SW15,Dealer Site,EV Specialists,Dec 2026,2026-06-02,76,£565 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/365
366,Nissan Leaf Tekna #366,Nissan,Leaf,Tekna,13714,2018,62142,Diesel,Manual,14,SW16,Local Garage,AutoMart London,Dec 2026,2026-06-03,77,£566 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/366
367,Honda Civic i-VTEC #367,Honda,Civic,i-VTEC,14093,2019,62279,Hybrid,Automatic,21,SW17,Partner Dealer,City Motors,Dec 2026,2026-06-04,78,£567 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/367
368,Mazda 3 SE-L #368,Mazda,3,SE-L,14472,2020,62416,Electric,Manual,28,SW18,eBay,Premium Cars Ltd,Dec 2026,2026-06-05,79,£568 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/368
369,Volkswagen Golf 1.5 TSI #369,Volkswagen,Golf,1.5 TSI,14851,2021,62553,Petrol,Automatic,35,SW19,Dealer Site,Green Drive Motors,Dec 2026,2026-06-06,80,£569 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/369
370,Ford Fiesta Titanium #370,Ford,Fiesta,Titanium,15230,2022,62690,Diesel,Manual,42,SW0,Local Garage,Direct Autos,Dec 2026,2026-06-07,81,£570 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/370
371,BMW 118i Sport #371,BMW,118i,Sport,15609,2023,62827,Hybrid,Automatic,49,SW1,Partner Dealer,EV Specialists,Dec 2026,2026-06-08,82,£571 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/371
372,Toyota Yaris Hybrid #372,Toyota,Yaris,Hybrid,15988,2024,62964,Electric,Manual,56,SW2,eBay,AutoMart London,Dec 2026,2026-06-09,83,£572 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/372
373,Audi A3 TDI Sport #373,Audi,A3,TDI Sport,16367,2025,63101,Petrol,Automatic,63,SW3,Dealer Site,City Motors,Dec 2026,2026-06-10,84,£573 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/373
374,Nissan Leaf Tekna #374,Nissan,Leaf,Tekna,16746,2015,63238,Diesel,Manual,70,SW4,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-11,85,£574 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/374
375,Honda Civic i-VTEC #375,Honda,Civic,i-VTEC,17125,2016,63375,Hybrid,Automatic,77,SW5,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-12,86,£575 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/375
376,Mazda 3 SE-L #376,Mazda,3,SE-L,17504,2017,63512,Electric,Manual,84,SW6,eBay,Direct Autos,Dec 2026,2026-06-13,87,£576 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/376
377,Volkswagen Golf 1.5 TSI #377,Volkswagen,Golf,1.5 TSI,17883,2018,63649,Petrol,Automatic,91,SW7,Dealer Site,EV Specialists,Dec 2026,2026-06-14,88,£577 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/377
378,Ford Fiesta Titanium #378,Ford,Fiesta,Titanium,18262,2019,63786,Diesel,Manual,98,SW8,Local Garage,AutoMart London,Dec 2026,2026-06-15,89,£578 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/378
379,BMW 118i Sport #379,BMW,118i,Sport,18641,2020,63923,Hybrid,Automatic,105,SW9,Partner Dealer,City Motors,Dec 2026,2026-06-16,90,£579 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/379
380,Toyota Yaris Hybrid #380,Toyota,Yaris,Hybrid,19020,2021,64060,Electric,Manual,112,SW10,eBay,Premium Cars Ltd,Dec 2026,2026-06-17,91,£580 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/380
381,Audi A3 TDI Sport #381,Audi,A3,TDI Sport,19399,2022,64197,Petrol,Automatic,119,SW11,Dealer Site,Green Drive Motors,Dec 2026,2026-06-18,92,£581 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/381
382,Nissan Leaf Tekna #382,Nissan,Leaf,Tekna,19778,2023,64334,Diesel,Manual,126,SW12,Local Garage,Direct Autos,Dec 2026,2026-06-19,93,£582 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/382
383,Honda Civic i-VTEC #383,Honda,Civic,i-VTEC,20157,2024,64471,Hybrid,Automatic,133,SW13,Partner Dealer,EV Specialists,Dec 2026,2026-06-20,94,£583 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/383
384,Mazda 3 SE-L #384,Mazda,3,SE-L,20536,2025,64608,Electric,Manual,140,SW14,eBay,AutoMart London,Dec 2026,2026-06-21,95,£584 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/384
385,Volkswagen Golf 1.5 TSI #385,Volkswagen,Golf,1.5 TSI,20915,2015,64745,Petrol,Automatic,147,SW15,Dealer Site,City Motors,Dec 2026,2026-06-22,96,£585 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/385
386,Ford Fiesta Titanium #386,Ford,Fiesta,Titanium,21294,2016,64882,Diesel,Manual,4,SW16,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-23,97,£586 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/386
387,BMW 118i Sport #387,BMW,118i,Sport,21673,2017,65019,Hybrid,Automatic,11,SW17,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-24,55,£587 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/387
388,Toyota Yaris Hybrid #388,Toyota,Yaris,Hybrid,22052,2018,65156,Electric,Manual,18,SW18,eBay,Direct Autos,Dec 2026,2026-06-25,56,£588 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/388
389,Audi A3 TDI Sport #389,Audi,A3,TDI Sport,22431,2019,65293,Petrol,Automatic,25,SW19,Dealer Site,EV Specialists,Dec 2026,2026-06-26,57,£589 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/389
390,Nissan Leaf Tekna #390,Nissan,Leaf,Tekna,22810,2020,65430,Diesel,Manual,32,SW0,Local Garage,AutoMart London,Dec 2026,2026-06-27,58,£590 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/390
391,Honda Civic i-VTEC #391,Honda,Civic,i-VTEC,23189,2021,65567,Hybrid,Automatic,39,SW1,Partner Dealer,City Motors,Dec 2026,2026-06-28,59,£591 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/391
392,Mazda 3 SE-L #392,Mazda,3,SE-L,23568,2022,65704,Electric,Manual,46,SW2,eBay,Premium Cars Ltd,Dec 2026,2026-06-01,60,£592 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/392
393,Volkswagen Golf 1.5 TSI #393,Volkswagen,Golf,1.5 TSI,23947,2023,65841,Petrol,Automatic,53,SW3,Dealer Site,Green Drive Motors,Dec 2026,2026-06-02,61,£593 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/393
394,Ford Fiesta Titanium #394,Ford,Fiesta,Titanium,24326,2024,65978,Diesel,Manual,60,SW4,Local Garage,Direct Autos,Dec 2026,2026-06-03,62,£594 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/394
395,BMW 118i Sport #395,BMW,118i,Sport,24705,2025,66115,Hybrid,Automatic,67,SW5,Partner Dealer,EV Specialists,Dec 2026,2026-06-04,63,£595 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/395
396,Toyota Yaris Hybrid #396,Toyota,Yaris,Hybrid,25084,2015,66252,Electric,Manual,74,SW6,eBay,AutoMart London,Dec 2026,2026-06-05,64,£596 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/396
397,Audi A3 TDI Sport #397,Audi,A3,TDI Sport,25463,2016,66389,Petrol,Automatic,81,SW7,Dealer Site,City Motors,Dec 2026,2026-06-06,65,£597 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/397
398,Nissan Leaf Tekna #398,Nissan,Leaf,Tekna,25842,2017,66526,Diesel,Manual,88,SW8,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-07,66,£598 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/398
399,Honda Civic i-VTEC #399,Honda,Civic,i-VTEC,26221,2018,66663,Hybrid,Automatic,95,SW9,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-08,67,£599 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/399
400,Mazda 3 SE-L #400,Mazda,3,SE-L,26600,2019,66800,Electric,Manual,102,SW10,eBay,Direct Autos,Dec 2026,2026-06-09,68,£600 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/400
401,Volkswagen Golf 1.5 TSI #401,Volkswagen,Golf,1.5 TSI,26979,2020,66937,Petrol,Automatic,109,SW11,Dealer Site,EV Specialists,Dec 2026,2026-06-10,69,£601 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/401
402,Ford Fiesta Titanium #402,Ford,Fiesta,Titanium,27358,2021,67074,Diesel,Manual,116,SW12,Local Garage,AutoMart London,Dec 2026,2026-06-11,70,£602 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/402
